x,y
0,0
2.737,0
0,1.862
0,4.862
0,7.862
0,8.853
2.935,8.853
5.935,8.853
8.935,8.853
11.935,8.853
13.22,8.853
2.935,7.862
5.935,7.862
8.935,7.862
11.935,7.862
13.22,7.862
2.935,4.862
5.935,4.862
8.935,4.862
12.202,4.876
2.935,1.862
5.935,1.862
9.202,1.876
2.935,1.1
