x,y
0,0
2.85,0
5.85,0
8.85,0
11.85,0
0,2.775
2.85,2.775
5.85,2.775
8.85,2.775
11.85,2.775
0,5.775
2.85,5.775
5.85,5.775
8.85,5.775
11.85,5.775
0,7.55
2.85,7.55
5.85,7.55
8.85,7.55
11.85,7.55
