x,y
0,0
4.85,0
0,2.097
4.85,2.097
0,6.097
4.85,6.097
9.85,6.097
14.85,6.097
19.85,6.097
0,10.97
4.85,10.97
9.85,10.97
14.85,10.97
19.85,10.97
0,14.097
4.85,14.097
9.85,14.097
14.85,14.097
19.85,14.097
0,18.097
4.85,18.097
9.85,18.097
14.85,18.097
19.85,18.097
24.85,18.097
10.9,2.211
14.85,3.19
24.7,10.322
