x,y
8,0
11.85,0
13.7,0
8,1.775
11.85,1.775
13.7,1.775
8,5.775
11.85,5.775
13.7,5.775
11.85,9.775
13.7,9.775
0,10
3.85,10
7.85,10
15.85,10
19.85,10
21.7,10
0,13.775
3.85,13.775
7.85,13.775
11.85,13.775
15.85,13.775
19.85,13.775
21.7,13.775
0,17.775
3.85,17.775
7.85,17.775
11.85,17.775
15.85,17.775
19.85,17.775
21.7,17.775
0,21.775
3.85,21.775
7.85,21.775
11.85,21.775
15.85,21.775
19.85,21.775
21.7,21.775
0,25.55
3.85,25.55
7.85,25.55
11.85,25.55
15.85,25.55
19.85,25.55
21.7,25.55
