x,y
0,0
2.05,0
6.05,0
10.05,0
14.05,0
18.05,0
19.70,0
0,2.775
2.05,2.775
6.05,2.775
10.05,2.775
14.05,2.775
18.05,2.775
19.70,2.775
0,5.775
2.05,5.775
6.05,5.775
10.05,5.775
14.05,5.775
18.05,5.775
19.70,5.775
0,8.775
2.05,8.775
6.05,8.775
10.05,8.775
14.05,8.775
18.05,8.775
19.70,8.775
0,11.775
2.05,11.775
6.05,11.775
10.05,11.775
14.05,11.775
18.05,11.775
19.70,11.775
0,14.55
2.05,14.55
6.05,14.55
10.05,14.55
14.05,14.55
18.05,14.55
19.70,14.55
