x,y
0,0
4.1,0
0,2.322
0,5.614
0,8.91
0,13.11
2.84,13.11
6.01,13.11
8.51,13.11
11.282,13.11
13.832,13.11
16.58,13.11
20.472,13.11
6.01,10.41
2.995,8.91
8.51,8.91
11.282,8.91
14.237,8.91
20.167,9.21
16.369,5.112
8.421,1.631
13.334,2.378
4.41,6.51
8.51,6.51
11.282,6.51
